accuracy,brier,dataset,delta_star,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.7878787878787878,0.276604738158401,synthetic,,,0.0667248165968693,0.25,0.7883326549993216,source_only,0.47363516688346863,0.0,0,homophily_shift
0.8,0.30041221092514986,synthetic,,,0.10244690071452751,0.25,0.7992574558734024,tent,0.5759093165397644,0.05851450000045588,0,homophily_shift
0.806060606060606,0.2827562844563296,synthetic,,,0.08492405107527065,0.25,0.8066330372801894,eata,0.5012733936309814,0.08671529999992345,0,homophily_shift
0.793939393939394,0.2782306222298104,synthetic,,,0.0806260844071706,0.25,0.7943477681478632,matcha,0.47980374097824097,0.09771680000267224,0,homophily_shift
0.793939393939394,0.2767074665731299,synthetic,,,0.07367951779654534,0.25,0.7943477681478632,gtrans,0.47465750575065613,0.06749990000389516,0,homophily_shift
0.7878787878787878,0.2767826758755911,synthetic,0.000492062759399414,True,0.06714233358701072,0.25,0.7883326549993216,full_method,0.4743376672267914,0.04182289999880595,0,homophily_shift
0.593939393939394,0.5801904982351836,synthetic,,,0.19405761090191925,0.5,0.593018125341946,source_only,1.0564374923706055,0.0,0,homophily_shift
0.6,0.6536696655368606,synthetic,,,0.2814728034265114,0.5,0.5995675883316333,tent,1.4887242317199707,0.07600960000127088,0,homophily_shift
0.6,0.602821256685883,synthetic,,,0.23442922794457638,0.5,0.5999078082411415,eata,1.2396785020828247,0.0707542000018293,0,homophily_shift
0.5818181818181818,0.6096789813832415,synthetic,,,0.2153448355920387,0.5,0.5744902322767712,matcha,1.1519719362258911,0.10218999999779044,0,homophily_shift
0.6,0.5836459636288559,synthetic,,,0.19606049963922212,0.5,0.5987878787878788,gtrans,1.065596342086792,0.04907100000127684,0,homophily_shift
0.593939393939394,0.5809877426562855,synthetic,0.000492062759399414,True,0.19450655489256885,0.5,0.593018125341946,full_method,1.0588624477386475,0.024788299997453578,0,homophily_shift
0.7636363636363637,0.33939868008164464,synthetic,,,0.1247997123183626,0.25,0.764750857318651,source_only,0.5993030667304993,0.0,1,homophily_shift
0.793939393939394,0.34107544899984255,synthetic,,,0.14185883565382523,0.25,0.79396304025648,tent,0.6852240562438965,0.07257479999680072,1,homophily_shift
0.7878787878787878,0.3428772289289366,synthetic,,,0.1409749190012614,0.25,0.788666606363947,eata,0.6481485962867737,0.07704329999978654,1,homophily_shift
0.7757575757575758,0.33825986630307947,synthetic,,,0.1405895791270516,0.25,0.7767301135722189,matcha,0.6001161336898804,0.09460739999485668,1,homophily_shift
0.7696969696969697,0.3386934191431532,synthetic,,,0.13061688596552068,0.25,0.7707583838018621,gtrans,0.599438488483429,0.05092109999532113,1,homophily_shift
0.7696969696969697,0.3385780320387937,synthetic,0.0008941556930541992,True,0.1254851559797923,0.25,0.7707583838018621,full_method,0.5993845462799072,0.155287399997178,1,homophily_shift
