dataset,backbone,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
synthetic,gat,clean,0.0,source_only,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.13363675773143768,0.02054549753665924,0.0958697692801555,0.009672748918334653,0.04770335827920734,0.010466214997348174,5.099998816149309e-06,1.9999788491986692e-07,0.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,entropy_all_nodes,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.11947482079267502,0.019002698361873627,0.08478182926774025,0.013990339388449978,0.04452370136257586,0.008920825333166675,0.1288182999996934,0.07140870000148425,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,tent_entropy,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.11938291043043137,0.01898961514234543,0.0846821459631125,0.0139913760125637,0.04450479183109581,0.008909416661434404,0.12575995000224793,0.07108714999776566,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,eata_filter,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.12167712673544884,0.01967795565724373,0.0876817983885606,0.014065396537383389,0.04443876272926398,0.009197552920079163,0.7569499499986705,0.0812105499971949,25.0,0.0,0.40908333333333335,0.0014166666666666496,0.40908333333333335,0.0014166666666666496,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,graph_tta_consistency,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.1235455796122551,0.01883622258901596,0.08438638783991337,0.010673633341987926,0.04649991633795009,0.008897041205691698,0.9377063499996439,0.11229964999802178,25.0,0.0,0.4178993964447697,0.004527365002536005,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,matcha_reliable,2,0.9875,0.004166666666666707,0.9874986977131843,0.004166666666666652,0.12326567620038986,0.018963731825351715,0.0854837733010451,0.009374671429395673,0.04652665194168229,0.009004250342046334,0.7055156999995233,0.021967599997879006,25.0,0.0,0.5,0.0,0.5,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,reliable_entropy,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12206441909074783,0.018731676042079926,0.08301086674133937,0.01066337774197261,0.046012936650108,0.008774864645125151,0.8534947000007378,0.15671629999997094,25.0,0.0,0.4177544623959273,0.004686085581125321,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_neighborhood_agreement,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12298399582505226,0.018361534923315048,0.08298913066585858,0.010555167247851695,0.04702330025170903,0.008623001610156038,0.6006392999988748,0.09074770000006538,25.0,0.0,0.40960340387334904,0.0007270340702442424,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_structural_stability,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12205889821052551,0.018739953637123108,0.08301127664744853,0.010662297283609706,0.04600772331164539,0.008783401989717242,0.39844739999898593,0.035381099998630816,25.0,0.0,0.41818244625589407,0.004646774600918363,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_calibration_loss,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12204413488507271,0.018730279058218002,0.08299170434474945,0.01066343188285828,0.046006606804584294,0.008773091066323752,0.6109641499970166,0.1410049500009336,25.0,0.0,0.4177536739524606,0.004686989526764496,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
