accuracy,backbone,brier,detector_trigger_step,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.9818181818181818,gcn,0.023648062638877122,,,0.021901979049046838,0.0,0.9817620790097853,source_only,0.04104430601000786,2.890000178012997e-05,0,clean
0.9818181818181818,gcn,0.023271565982479016,,,0.02164731892672452,0.0,0.9817620790097853,entropy_all_nodes,0.04026109352707863,0.667178599993349,0,clean
0.9818181818181818,gcn,0.023516955740602166,,False,0.02173501361500133,0.0,0.9817620790097853,full_method,0.040705662220716476,3.0439680999988923,0,clean
0.9575757575757575,gcn,0.057453848152240306,,,0.026739293878728695,0.45,0.9573414040816818,source_only,0.09645858407020569,5.199995939619839e-06,0,feature_noise
0.9636363636363636,gcn,0.056046598761332334,,,0.034647010311935886,0.45,0.963452906369125,entropy_all_nodes,0.0940931886434555,0.8882011999958195,0,feature_noise
0.9575757575757575,gcn,0.056883382424998984,,False,0.025106721935850205,0.45,0.9573414040816818,full_method,0.09553565084934235,3.7233262000081595,0,feature_noise
0.9333333333333333,gcn,0.10281034425407515,,,0.04746427102522412,0.35,0.9332090748757417,source_only,0.225647434592247,6.599992047995329e-06,0,edge_drop
0.9333333333333333,gcn,0.10386558002414183,,,0.04642800652619569,0.35,0.9332529465949401,entropy_all_nodes,0.22810928523540497,0.5057883999979822,0,edge_drop
0.9333333333333333,gcn,0.10330293720756795,,False,0.04784220601573138,0.35,0.9332090748757417,full_method,0.22646582126617432,2.3868378000042867,0,edge_drop
0.9636363636363636,gcn,0.06227628303982343,,,0.03307623068491618,0.35,0.9632749326145552,source_only,0.12004915624856949,6.700007361359894e-06,0,edge_add
0.9575757575757575,gcn,0.06156001556097487,,,0.04147027008461229,0.35,0.9573738039258158,entropy_all_nodes,0.1161007508635521,0.5918445999996038,0,edge_add
0.9636363636363636,gcn,0.06176413740308794,,False,0.04912585598049742,0.35,0.9632749326145552,full_method,0.11706651747226715,5.380986500007566,0,edge_add
0.793939393939394,gcn,0.26765465606605543,,,0.08187840165513931,0.25,0.792942942942943,source_only,0.46499669551849365,7.599999662488699e-06,0,homophily_shift
0.793939393939394,gcn,0.2710169574966729,,,0.08632935050762064,0.25,0.7929226736566185,entropy_all_nodes,0.4822414517402649,0.6692579000082333,0,homophily_shift
0.793939393939394,gcn,0.2702368254392362,,False,0.08358790531302945,0.25,0.7929226736566185,full_method,0.47960081696510315,3.2437838000041666,0,homophily_shift
0.6181818181818182,gcn,0.5550734503518906,,,0.16984779184514825,0.5,0.6134408078446653,source_only,1.0479846000671387,5.399997462518513e-06,0,homophily_shift
0.6303030303030303,gcn,0.5781630951112384,,,0.19315844629750106,0.5,0.6212727252972741,entropy_all_nodes,1.1300071477890015,0.6893707000126597,0,homophily_shift
0.5818181818181818,gcn,0.5907646209101806,,False,0.21197653214136758,0.5,0.5625759287678597,full_method,1.1981366872787476,3.130279999997583,0,homophily_shift
0.9696969696969697,gcn,0.04521780272840227,,,0.016232943534851104,0.0,0.9695827872433377,source_only,0.08641412854194641,7.599999662488699e-06,1,clean
0.9696969696969697,gcn,0.044911630527268834,,,0.016543643041090562,0.0,0.9695827872433377,entropy_all_nodes,0.08590298146009445,0.8169341000029817,1,clean
0.9696969696969697,gcn,0.04538636573189658,,False,0.023495344682173326,0.0,0.9695827872433377,full_method,0.08653701096773148,3.5326172999921255,1,clean
0.9393939393939394,gcn,0.08822257786886219,,,0.039370129325173094,0.45,0.9391534511164069,source_only,0.17758025228977203,5.399997462518513e-06,1,feature_noise
0.9515151515151515,gcn,0.08318317569673847,,,0.05424651666121047,0.45,0.951320609215346,entropy_all_nodes,0.165906623005867,0.512718700003461,1,feature_noise
0.9515151515151515,gcn,0.08436968449655982,,False,0.039233519814231156,0.45,0.951320609215346,full_method,0.16867637634277344,2.446540200005984,1,feature_noise
0.9212121212121213,gcn,0.1294214875562216,,,0.05141146255261968,0.35,0.9211843022759995,source_only,0.25589558482170105,5.399997462518513e-06,1,edge_drop
0.9212121212121213,gcn,0.13025448662057282,,,0.04047827792890148,0.35,0.9211843022759995,entropy_all_nodes,0.2599303126335144,0.36082339999848045,1,edge_drop
0.9212121212121213,gcn,0.1292453367258545,,False,0.05488702456156409,0.35,0.9211843022759995,full_method,0.25618377327919006,1.7145549000124447,1,edge_drop
0.9272727272727272,gcn,0.10578731166609551,,,0.0405849601283218,0.35,0.9275719731430591,source_only,0.18424087762832642,5.800000508315861e-06,1,edge_add
0.9212121212121213,gcn,0.10384059145351489,,,0.04467634143251361,0.35,0.9214165464165464,entropy_all_nodes,0.17974278330802917,0.3334532000008039,1,edge_add
0.9272727272727272,gcn,0.1047257320982628,,False,0.042285579262357764,0.35,0.9275719731430591,full_method,0.18155841529369354,1.598497300001327,1,edge_add
0.793939393939394,gcn,0.2888975290657967,,,0.08579911427064377,0.25,0.7930863194021088,source_only,0.5030137300491333,6.100002792663872e-06,1,homophily_shift
0.8,gcn,0.2905010524829679,,,0.08969618045922484,0.25,0.79912120043699,entropy_all_nodes,0.5099925398826599,0.36657369999738876,1,homophily_shift
0.806060606060606,gcn,0.2904593086402203,,False,0.09357215075781855,0.25,0.8051399082234613,full_method,0.5119906663894653,1.8463936999905854,1,homophily_shift
0.6060606060606061,gcn,0.559942168322396,,,0.1859740040519021,0.5,0.6060731538992409,source_only,1.0606282949447632,7.299997378140688e-06,1,homophily_shift
0.6181818181818182,gcn,0.5717195874138261,,,0.19850552118185794,0.5,0.6172976376228408,entropy_all_nodes,1.0964633226394653,0.28446390001045074,1,homophily_shift
0.6060606060606061,gcn,0.581920826941192,,False,0.19831696875167615,0.5,0.6058842824341476,full_method,1.131464958190918,1.7138335000054212,1,homophily_shift
0.9878787878787879,gcn,0.014252251095152083,,,0.012210462310097436,0.0,0.9878782869608557,source_only,0.025673992931842804,5.699999746866524e-06,2,clean
0.9878787878787879,gcn,0.01414688967417574,,,0.014647626154350512,0.0,0.9878782869608557,entropy_all_nodes,0.025079606100916862,0.37661959999240935,2,clean
0.9878787878787879,gcn,0.01424470428678532,,False,0.012209255767591073,0.0,0.9878782869608557,full_method,0.025466086342930794,1.8405416999885347,2,clean
0.9939393939393939,gcn,0.015494822540853935,,,0.01991708314780033,0.45,0.9939388930214618,source_only,0.03337002918124199,7.299997378140688e-06,2,feature_noise
0.9939393939393939,gcn,0.015718914861272908,,,0.01803746223449707,0.45,0.9939388930214618,entropy_all_nodes,0.032586727291345596,0.36209840000083204,2,feature_noise
0.9939393939393939,gcn,0.0155482893010437,,False,0.01808499964800748,0.45,0.9939388930214618,full_method,0.032947931438684464,1.508413700008532,2,feature_noise
0.9636363636363636,gcn,0.05095678276689901,,,0.025104212760925292,0.35,0.963553457653107,source_only,0.075574591755867,5.800000508315861e-06,2,edge_drop
0.9636363636363636,gcn,0.049185879138317914,,,0.026242482300960657,0.35,0.963553457653107,entropy_all_nodes,0.07271061837673187,0.31684929999755695,2,edge_drop
0.9636363636363636,gcn,0.050549120772792534,,False,0.025039768580234413,0.35,0.963553457653107,full_method,0.07492853701114655,1.5680639000056544,2,edge_drop
0.9696969696969697,gcn,0.04944627706347246,,,0.04717957305185722,0.35,0.9698056688882376,source_only,0.09468283504247665,4.6000059228390455e-06,2,edge_add
0.9757575757575757,gcn,0.04616581718740887,,,0.04550768606590502,0.35,0.9757575757575757,entropy_all_nodes,0.08881541341543198,0.38222849999147,2,edge_add
