correlation,intensity,seed,shift,signal_a,signal_b
0.0,0.45,2,feature_noise,confidence,source
0.12264497348968663,0.45,2,feature_noise,confidence,degree
0.15351447238543003,0.45,2,feature_noise,agreement,stability
0.0,0.45,2,feature_noise,agreement,source
-0.11281620170572351,0.45,2,feature_noise,agreement,degree
0.0,0.45,2,feature_noise,stability,source
0.08057648511951358,0.45,2,feature_noise,stability,degree
0.0,0.45,2,feature_noise,source,degree
0.4923786659322266,0.35,2,edge_drop,confidence,agreement
0.18554649226938785,0.35,2,edge_drop,confidence,stability
0.0,0.35,2,edge_drop,confidence,source
0.17012159712088232,0.35,2,edge_drop,confidence,degree
0.13284882444993873,0.35,2,edge_drop,agreement,stability
0.0,0.35,2,edge_drop,agreement,source
-0.05477127687135366,0.35,2,edge_drop,agreement,degree
0.0,0.35,2,edge_drop,stability,source
0.01923294183325445,0.35,2,edge_drop,stability,degree
0.0,0.35,2,edge_drop,source,degree
0.4599202736462913,0.35,2,edge_add,confidence,agreement
0.5829411923276714,0.35,2,edge_add,confidence,stability
0.0,0.35,2,edge_add,confidence,source
0.16071115962695232,0.35,2,edge_add,confidence,degree
0.30847626263427075,0.35,2,edge_add,agreement,stability
0.0,0.35,2,edge_add,agreement,source
-0.148482370664565,0.35,2,edge_add,agreement,degree
0.0,0.35,2,edge_add,stability,source
0.14869308904760664,0.35,2,edge_add,stability,degree
0.0,0.35,2,edge_add,source,degree
0.3532328686740134,0.25,2,homophily_shift,confidence,agreement
0.48003363195022447,0.25,2,homophily_shift,confidence,stability
0.0,0.25,2,homophily_shift,confidence,source
-0.02789153896349184,0.25,2,homophily_shift,confidence,degree
0.07535070434917823,0.25,2,homophily_shift,agreement,stability
0.0,0.25,2,homophily_shift,agreement,source
-0.32062954116745196,0.25,2,homophily_shift,agreement,degree
0.0,0.25,2,homophily_shift,stability,source
0.056624244115886326,0.25,2,homophily_shift,stability,degree
0.0,0.25,2,homophily_shift,source,degree
0.47865235537147194,0.0,3,clean,confidence,agreement
0.3851693752798672,0.0,3,clean,confidence,stability
0.0,0.0,3,clean,confidence,source
0.2165173406941523,0.0,3,clean,confidence,degree
0.073404568418119,0.0,3,clean,agreement,stability
0.0,0.0,3,clean,agreement,source
0.012096100461530482,0.0,3,clean,agreement,degree
0.0,0.0,3,clean,stability,source
0.3094772519713357,0.0,3,clean,stability,degree
0.0,0.0,3,clean,source,degree
0.5487846021053183,0.45,3,feature_noise,confidence,agreement
0.4085377227020733,0.45,3,feature_noise,confidence,stability
0.0,0.45,3,feature_noise,confidence,source
0.13076938402164512,0.45,3,feature_noise,confidence,degree
0.2483758547068107,0.45,3,feature_noise,agreement,stability
0.0,0.45,3,feature_noise,agreement,source
-0.011453317277794904,0.45,3,feature_noise,agreement,degree
0.0,0.45,3,feature_noise,stability,source
0.08928552215319141,0.45,3,feature_noise,stability,degree
0.0,0.45,3,feature_noise,source,degree
0.4126213528133384,0.35,3,edge_drop,confidence,agreement
0.4428904949819599,0.35,3,edge_drop,confidence,stability
0.0,0.35,3,edge_drop,confidence,source
