accuracy,brier,cov_r_e,ece,intensity,mean_reliability,method,regime,runtime_seconds,seed,selected_fraction,shift
0.9818181818181818,0.023516955740602166,-0.007034447376969682,0.02173501361500133,0.0,0.4406873537155858,full_method,in_envelope,0.4795123999938369,0,0.39999999999999986,clean
0.9818181818181818,0.023577240630462258,-0.006367435945323021,0.021715800870548595,0.0,0.4442119520223388,no_confidence,in_envelope,0.48529949999647215,0,0.39999999999999986,clean
0.9818181818181818,0.0234214831022421,-0.007182115539426998,0.021694781924739028,0.0,0.44894239669992525,no_neighborhood_agreement,in_envelope,0.3653450999991037,0,0.39999999999999986,clean
0.9818181818181818,0.02351950370831017,-0.007035625784744514,0.021734619321245135,0.0,0.4408621118766943,no_structural_stability,in_envelope,0.27437850000569597,0,0.39999999999999986,clean
0.9818181818181818,0.023516953327674606,-0.007034447376969682,0.021735011086319433,0.0,0.4406874600173293,no_source_consistency,in_envelope,0.49200840000412427,0,0.39999999999999986,clean
0.9818181818181818,0.02354091446309168,-0.007033394389668191,0.02174571246811838,0.0,0.44244208616655784,no_degree_prior,in_envelope,0.515203199989628,0,0.39999999999999986,clean
0.9757575757575757,0.03310370473240181,-0.009684502853826745,0.022466742269920577,0.2,0.43757926925808843,full_method,in_envelope,0.5216595999954734,0,0.39999999999999986,feature_noise
0.9757575757575757,0.03306784532360314,-0.008945686879552297,0.024811149004733923,0.2,0.450717759129227,no_confidence,in_envelope,0.5071704000001773,0,0.39999999999999986,feature_noise
0.9757575757575757,0.03300383397408758,-0.00975930728195451,0.02244093670989528,0.2,0.4455575637154461,no_neighborhood_agreement,in_envelope,0.39448009998886846,0,0.39999999999999986,feature_noise
0.9757575757575757,0.033107573040182026,-0.009690636092978018,0.02246708039081458,0.2,0.43774137082821213,no_structural_stability,in_envelope,0.292512899992289,0,0.39999999999999986,feature_noise
0.9757575757575757,0.033103699120395555,-0.009684502853826745,0.022466635342800252,0.2,0.43757957471338843,no_source_consistency,in_envelope,0.5074268000025768,0,0.39999999999999986,feature_noise
0.9757575757575757,0.0331492183343008,-0.009684248296200298,0.022471069205891002,0.2,0.4392893563031173,no_degree_prior,in_envelope,0.5147135000152048,0,0.39999999999999986,feature_noise
0.9575757575757575,0.056883382424998984,-0.013023493793789892,0.025106721935850205,0.45,0.4292255552614046,full_method,in_envelope,0.6031140999984927,0,0.39999999999999986,feature_noise
0.9636363636363636,0.05633498817055578,-0.012046781485186514,0.03233930992357659,0.45,0.4448922114477912,no_confidence,in_envelope,0.6190795000002254,0,0.39999999999999986,feature_noise
0.9575757575757575,0.05674419732506144,-0.012497498163090762,0.0315514112963821,0.45,0.4339585316312281,no_neighborhood_agreement,in_envelope,0.4399483000161126,0,0.39999999999999986,feature_noise
0.9575757575757575,0.05688214257384372,-0.013055838622074777,0.02510527697476474,0.45,0.4295302931431969,no_structural_stability,in_envelope,0.3444477999873925,0,0.39999999999999986,feature_noise
