accuracy,delta,ece,intensity,measured_homophily,seed,shift,used_homophily
0.9575757575757575,-0.3,0.02429908514022827,0.45,0.7592468056489576,0,feature_noise,0.45924680564895765
0.9575757575757575,-0.2,0.025107384811748158,0.45,0.7592468056489576,0,feature_noise,0.5592468056489577
0.9575757575757575,-0.1,0.025107222253626042,0.45,0.7592468056489576,0,feature_noise,0.6592468056489577
0.9575757575757575,0.0,0.025106721935850205,0.45,0.7592468056489576,0,feature_noise,0.7592468056489576
0.9575757575757575,0.1,0.025106672807173297,0.45,0.7592468056489576,0,feature_noise,0.8592468056489576
0.9575757575757575,0.2,0.025106587193228988,0.45,0.7592468056489576,0,feature_noise,0.9592468056489576
0.9575757575757575,0.3,0.025106476653705946,0.45,0.7592468056489576,0,feature_noise,1.0
0.9636363636363636,-0.3,0.0491114818688595,0.35,0.6442451420029895,0,edge_add,0.34424514200298956
0.9636363636363636,-0.2,0.04911612344510627,0.35,0.6442451420029895,0,edge_add,0.44424514200298953
0.9636363636363636,-0.1,0.049121442708102134,0.35,0.6442451420029895,0,edge_add,0.5442451420029896
0.9636363636363636,0.0,0.04912585598049742,0.35,0.6442451420029895,0,edge_add,0.6442451420029895
0.9636363636363636,0.1,0.04912925452897042,0.35,0.6442451420029895,0,edge_add,0.7442451420029895
0.9636363636363636,0.2,0.04913100509932547,0.35,0.6442451420029895,0,edge_add,0.8442451420029895
0.9636363636363636,0.3,0.04913294134717999,0.35,0.6442451420029895,0,edge_add,0.9442451420029896
0.793939393939394,-0.3,0.08592132564746971,0.25,0.5938130464021519,0,homophily_shift,0.29381304640215195
0.793939393939394,-0.2,0.08603095466440375,0.25,0.5938130464021519,0,homophily_shift,0.3938130464021519
0.793939393939394,-0.1,0.08428881222551521,0.25,0.5938130464021519,0,homophily_shift,0.49381304640215196
0.793939393939394,0.0,0.08358790531302945,0.25,0.5938130464021519,0,homophily_shift,0.5938130464021519
0.793939393939394,0.1,0.0837124353105372,0.25,0.5938130464021519,0,homophily_shift,0.6938130464021519
0.793939393939394,0.2,0.08383481430284907,0.25,0.5938130464021519,0,homophily_shift,0.793813046402152
0.793939393939394,0.3,0.09690283807841218,0.25,0.5938130464021519,0,homophily_shift,0.8938130464021519
0.9515151515151515,-0.3,0.039218154098048325,0.45,0.7326666666666667,1,feature_noise,0.4326666666666667
0.9515151515151515,-0.2,0.039223359931598985,0.45,0.7326666666666667,1,feature_noise,0.5326666666666666
0.9515151515151515,-0.1,0.03922868967056272,0.45,0.7326666666666667,1,feature_noise,0.6326666666666667
0.9515151515151515,0.0,0.039233519814231156,0.45,0.7326666666666667,1,feature_noise,0.7326666666666667
0.9515151515151515,0.1,0.03944311900572341,0.45,0.7326666666666667,1,feature_noise,0.8326666666666667
0.9515151515151515,0.2,0.039434638529112824,0.45,0.7326666666666667,1,feature_noise,0.9326666666666668
0.9515151515151515,0.3,0.03943023753888677,0.45,0.7326666666666667,1,feature_noise,1.0
0.9272727272727272,-0.3,0.04229601802247944,0.35,0.6232098765432099,1,edge_add,0.32320987654320993
0.9272727272727272,-0.2,0.0422920848384048,0.35,0.6232098765432099,1,edge_add,0.4232098765432099
0.9272727272727272,-0.1,0.04228782978924838,0.35,0.6232098765432099,1,edge_add,0.5232098765432099
0.9272727272727272,0.0,0.042285579262357764,0.35,0.6232098765432099,1,edge_add,0.6232098765432099
0.9272727272727272,0.1,0.04228131120855158,0.35,0.6232098765432099,1,edge_add,0.7232098765432099
0.9272727272727272,0.2,0.04227671984470252,0.35,0.6232098765432099,1,edge_add,0.8232098765432099
0.9272727272727272,0.3,0.042272629882350116,0.35,0.6232098765432099,1,edge_add,0.92320987654321
0.806060606060606,-0.3,0.09802850737716211,0.25,0.5646666666666667,1,homophily_shift,0.26466666666666666
0.806060606060606,-0.2,0.09801684329003998,0.25,0.5646666666666667,1,homophily_shift,0.36466666666666664
0.806060606060606,-0.1,0.09764405326409774,0.25,0.5646666666666667,1,homophily_shift,0.4646666666666667
0.806060606060606,0.0,0.09357215075781855,0.25,0.5646666666666667,1,homophily_shift,0.5646666666666667
0.806060606060606,0.1,0.08723485596252212,0.25,0.5646666666666667,1,homophily_shift,0.6646666666666666
0.806060606060606,0.2,0.08736573981516292,0.25,0.5646666666666667,1,homophily_shift,0.7646666666666666
0.806060606060606,0.3,0.09232203454682325,0.25,0.5646666666666667,1,homophily_shift,0.8646666666666667
0.9939393939393939,-0.3,0.018083945548895634,0.45,0.7618737800910865,2,feature_noise,0.46187378009108654
0.9939393939393939,-0.2,0.01808443358450225,0.45,0.7618737800910865,2,feature_noise,0.5618737800910865
0.9939393939393939,-0.1,0.018084675254243794,0.45,0.7618737800910865,2,feature_noise,0.6618737800910865
0.9939393939393939,0.0,0.01808499964800748,0.45,0.7618737800910865,2,feature_noise,0.7618737800910865
0.9939393939393939,0.1,0.018085048415444116,0.45,0.7618737800910865,2,feature_noise,0.8618737800910865
0.9939393939393939,0.2,0.018084953048012477,0.45,0.7618737800910865,2,feature_noise,0.9618737800910866
0.9939393939393939,0.3,0.01808489994569258,0.45,0.7618737800910865,2,feature_noise,1.0
0.9696969696969697,-0.3,0.045016418442581634,0.35,0.6460945033751205,2,edge_add,0.34609450337512054
0.9696969696969697,-0.2,0.04502518592458783,0.35,0.6460945033751205,2,edge_add,0.4460945033751205
0.9696969696969697,-0.1,0.04503485289486972,0.35,0.6460945033751205,2,edge_add,0.5460945033751206
0.9696969696969697,0.0,0.0450417955716451,0.35,0.6460945033751205,2,edge_add,0.6460945033751205
0.9696969696969697,0.1,0.045049512386322016,0.35,0.6460945033751205,2,edge_add,0.7460945033751205
0.9696969696969697,0.2,0.045051107984600644,0.35,0.6460945033751205,2,edge_add,0.8460945033751206
0.9696969696969697,0.3,0.04505311611926917,0.35,0.6460945033751205,2,edge_add,0.9460945033751205
0.8909090909090909,-0.3,0.055840387308236344,0.25,0.5790500975927131,2,homophily_shift,0.2790500975927131
0.8909090909090909,-0.2,0.05895695559906237,0.25,0.5790500975927131,2,homophily_shift,0.3790500975927131
0.8909090909090909,-0.1,0.05894495158484489,0.25,0.5790500975927131,2,homophily_shift,0.4790500975927131
0.896969696969697,0.0,0.06497973853891546,0.25,0.5790500975927131,2,homophily_shift,0.5790500975927131
0.896969696969697,0.1,0.06818117390979421,0.25,0.5790500975927131,2,homophily_shift,0.6790500975927131
0.896969696969697,0.2,0.0681329683824019,0.25,0.5790500975927131,2,homophily_shift,0.779050097592713
