accuracy,decile,deg_hi,deg_lo,ece,intensity,mean_reliability,method,n_decile,seed,selected_fraction,shift
0.9375,1,7.0,6.0,0.08011362701654434,0.25,0.39374362213114716,no_degree_prior,16,3,0.39999999999999986,homophily_shift
0.7142857142857143,2,8.0,7.0,0.17778648648943218,0.25,1.0,source_only,14,3,1.0,homophily_shift
0.7142857142857143,2,8.0,7.0,0.1840135157108307,0.25,0.38996620720898795,full_method,14,3,0.39999999999999986,homophily_shift
0.7142857142857143,2,8.0,7.0,0.18365838272230967,0.25,0.39374362213114716,no_degree_prior,14,3,0.39999999999999986,homophily_shift
0.8636363636363636,3,9.0,8.0,0.08654433759776028,0.25,1.0,source_only,22,3,1.0,homophily_shift
0.8636363636363636,3,9.0,8.0,0.13311123035170816,0.25,0.38996620720898795,full_method,22,3,0.39999999999999986,homophily_shift
0.8636363636363636,3,9.0,8.0,0.1449374475262382,0.25,0.39374362213114716,no_degree_prior,22,3,0.39999999999999986,homophily_shift
0.8,4,10.0,9.0,0.149742728471756,0.25,1.0,source_only,20,3,1.0,homophily_shift
0.75,4,10.0,9.0,0.20033400356769562,0.25,0.38996620720898795,full_method,20,3,0.39999999999999986,homophily_shift
0.75,4,10.0,9.0,0.20038872361183166,0.25,0.39374362213114716,no_degree_prior,20,3,0.39999999999999986,homophily_shift
0.8333333333333334,5,11.0,10.0,0.11379124720891316,0.25,1.0,source_only,12,3,1.0,homophily_shift
0.8333333333333334,5,11.0,10.0,0.1621982753276825,0.25,0.38996620720898795,full_method,12,3,0.39999999999999986,homophily_shift
0.8333333333333334,5,11.0,10.0,0.16298019389311472,0.25,0.39374362213114716,no_degree_prior,12,3,0.39999999999999986,homophily_shift
0.9285714285714286,6,12.0,11.0,0.10128380571092878,0.25,1.0,source_only,14,3,1.0,homophily_shift
0.9285714285714286,6,12.0,11.0,0.08160217744963509,0.25,0.38996620720898795,full_method,14,3,0.39999999999999986,homophily_shift
