accuracy,debiased,ece,intensity,method,n_bins,seed,shift
0.9818181818181818,False,0.008141130750829544,0.0,source_only,5,0,clean
0.9818181818181818,True,0.006929009538708332,0.0,source_only,5,0,clean
0.9818181818181818,False,0.020490259293353918,0.0,source_only,10,0,clean
0.9818181818181818,True,0.01988419868729331,0.0,source_only,10,0,clean
0.9818181818181818,False,0.021901979049046838,0.0,source_only,15,0,clean
0.9818181818181818,True,0.021497938645006435,0.0,source_only,15,0,clean
0.9818181818181818,False,0.027550212361595845,0.0,source_only,20,0,clean
0.9818181818181818,True,0.027247182058565543,0.0,source_only,20,0,clean
0.9818181818181818,False,0.027550215251518014,0.0,source_only,25,0,clean
0.9818181818181818,True,0.027307791009093772,0.0,source_only,25,0,clean
0.9818181818181818,False,0.005604725895505985,0.0,full_method,5,0,clean
0.9818181818181818,True,0.004392604683384773,0.0,full_method,5,0,clean
0.9818181818181818,False,0.02031732111266165,0.0,full_method,10,0,clean
0.9818181818181818,True,0.019711260506601044,0.0,full_method,10,0,clean
0.9818181818181818,False,0.02173501361500133,0.0,full_method,15,0,clean
0.9818181818181818,True,0.021330973210960925,0.0,full_method,15,0,clean
0.9818181818181818,False,0.027325293150815097,0.0,full_method,20,0,clean
0.9818181818181818,True,0.027022262847784796,0.0,full_method,20,0,clean
0.9818181818181818,False,0.027325197422143184,0.0,full_method,25,0,clean
0.9818181818181818,True,0.027082773179718942,0.0,full_method,25,0,clean
0.9575757575757575,False,0.02083938988772308,0.45,source_only,5,0,feature_noise
0.9575757575757575,True,0.019627268675601866,0.45,source_only,5,0,feature_noise
0.9575757575757575,False,0.027178891499837238,0.45,source_only,10,0,feature_noise
0.9575757575757575,True,0.02657283089377663,0.45,source_only,10,0,feature_noise
0.9575757575757575,False,0.026739293878728695,0.45,source_only,15,0,feature_noise
0.9575757575757575,True,0.02633525347468829,0.45,source_only,15,0,feature_noise
0.9575757575757575,False,0.027178936293630888,0.45,source_only,20,0,feature_noise
0.9575757575757575,True,0.026875905990600586,0.45,source_only,20,0,feature_noise
0.9575757575757575,False,0.03774252515850646,0.45,source_only,25,0,feature_noise
0.9575757575757575,True,0.03750010091608221,0.45,source_only,25,0,feature_noise
0.9575757575757575,False,0.020842739668759457,0.45,full_method,5,0,feature_noise
0.9575757575757575,True,0.019630618456638244,0.45,full_method,5,0,feature_noise
0.9575757575757575,False,0.03493595358097192,0.45,full_method,10,0,feature_noise
0.9575757575757575,True,0.03432989297491132,0.45,full_method,10,0,feature_noise
0.9575757575757575,False,0.025106721935850205,0.45,full_method,15,0,feature_noise
