accuracy,detector_triggered,ece,intensity,method,nll,seed,shift,step,stream
0.9916666666666667,,0.2436797923565968,0.05,source_only,0.31471155936687073,0,feature_noise,0,feature_drift_stream
0.9916666666666667,,0.2275408807975119,0.05,entropy_all_nodes,0.2937187074731896,0,feature_noise,0,feature_drift_stream
0.9916666666666667,False,0.2247250649984881,0.05,full_method,0.291243249940085,0,feature_noise,0,feature_drift_stream
0.9916666666666667,,0.24944828710953335,0.1,source_only,0.3210772505894094,0,feature_noise,1,feature_drift_stream
0.9916666666666667,,0.21906555094349037,0.1,entropy_all_nodes,0.28134549845648077,0,feature_noise,1,feature_drift_stream
0.9833333333333333,False,0.20708396026402592,0.1,full_method,0.2796708623603185,0,feature_noise,1,feature_drift_stream
0.9833333333333333,,0.24734920890186407,0.2,source_only,0.3299971493937243,0,feature_noise,2,feature_drift_stream
0.975,,0.19600435963094887,0.2,entropy_all_nodes,0.27499210436840593,0,feature_noise,2,feature_drift_stream
0.9583333333333334,False,0.18220816230273143,0.2,full_method,0.2808780440035961,0,feature_noise,2,feature_drift_stream
0.9833333333333333,,0.25296084064821445,0.3,source_only,0.34514979864065076,0,feature_noise,3,feature_drift_stream
0.9833333333333333,,0.20051673452772026,0.3,entropy_all_nodes,0.2790414854822321,0,feature_noise,3,feature_drift_stream
0.9333333333333333,False,0.14546859957118033,0.3,full_method,0.2968488074765502,0,feature_noise,3,feature_drift_stream
0.9916666666666667,,0.2541785280281463,0.4,source_only,0.3264363836134956,0,feature_noise,4,feature_drift_stream
0.9833333333333333,,0.18359222840355213,0.4,entropy_all_nodes,0.246928110565429,0,feature_noise,4,feature_drift_stream
0.9333333333333333,False,0.1500015019001317,0.4,full_method,0.2804561970784608,0,feature_noise,4,feature_drift_stream
1.0,,0.21626637100668034,0.05,source_only,0.2575169070743819,1,feature_noise,0,feature_drift_stream
1.0,,0.19979880625395796,0.05,entropy_all_nodes,0.23626018177690314,1,feature_noise,0,feature_drift_stream
1.0,False,0.19829013701517575,0.05,full_method,0.23479139753239966,1,feature_noise,0,feature_drift_stream
1.0,,0.21229491365680458,0.1,source_only,0.2514861911384962,1,feature_noise,1,feature_drift_stream
1.0,,0.18109436240831683,0.1,entropy_all_nodes,0.21166106606967008,1,feature_noise,1,feature_drift_stream
1.0,False,0.1787061734064861,0.1,full_method,0.2089524491550087,1,feature_noise,1,feature_drift_stream
1.0,,0.2157554876376265,0.2,source_only,0.2571141149637957,1,feature_noise,2,feature_drift_stream
1.0,,0.1724347405784322,0.2,entropy_all_nodes,0.20198966190799136,1,feature_noise,2,feature_drift_stream
0.9916666666666667,False,0.16117546648631859,0.2,full_method,0.19893172391348182,1,feature_noise,2,feature_drift_stream
1.0,,0.22187983847693457,0.3,source_only,0.26565633016353046,1,feature_noise,3,feature_drift_stream
1.0,,0.16697851755343715,0.3,entropy_all_nodes,0.19582133911564764,1,feature_noise,3,feature_drift_stream
0.9916666666666667,False,0.1650999152484044,0.3,full_method,0.19742393191977764,1,feature_noise,3,feature_drift_stream
0.9916666666666667,,0.2092715321493447,0.4,source_only,0.26551692610712035,1,feature_noise,4,feature_drift_stream
0.9916666666666667,,0.14927790233959198,0.4,entropy_all_nodes,0.18926654954631003,1,feature_noise,4,feature_drift_stream
0.9666666666666667,False,0.12811580857479965,0.4,full_method,0.20409636709873422,1,feature_noise,4,feature_drift_stream
0.9833333333333333,,0.17002077876311084,0.05,source_only,0.22192149798378852,2,feature_noise,0,feature_drift_stream
0.9833333333333333,,0.15545628184566843,0.05,entropy_all_nodes,0.2041941579469722,2,feature_noise,0,feature_drift_stream
0.9833333333333333,False,0.15460490948114314,0.05,full_method,0.2029800126837202,2,feature_noise,0,feature_drift_stream
0.9916666666666667,,0.17186291623331187,0.1,source_only,0.21783066373766188,2,feature_noise,1,feature_drift_stream
0.9916666666666667,,0.14520853847010662,0.1,entropy_all_nodes,0.18551273658232414,2,feature_noise,1,feature_drift_stream
0.9916666666666667,False,0.14426288381391972,0.1,full_method,0.18424917985453873,2,feature_noise,1,feature_drift_stream
0.9833333333333333,,0.16867539896754233,0.2,source_only,0.23116092257250268,2,feature_noise,2,feature_drift_stream
