accuracy,attack,base_accuracy,detector_triggered,ece,intensity,macro_f1,method,nll,seed
0.9939393939393939,adv_edge_add,0.9939393939393939,,0.33503978437296655,0.1,0.9939388930214618,source_only,0.42709763402574474,0
0.9939393939393939,adv_edge_add,0.9939393939393939,,0.3115596654028648,0.1,0.9939388930214618,entropy_all_nodes,0.39234163108365594,0
0.9939393939393939,adv_edge_add,0.9939393939393939,False,0.3061244495967525,0.1,0.9939388930214618,full_method,0.38475285248105356,0
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.38713503880106254,0.2,0.9878782869608557,source_only,0.5223407925419696,0
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.37191781958897285,0.2,0.9878782869608557,entropy_all_nodes,0.49800842712564974,0
0.9878787878787879,adv_edge_add,0.9878787878787879,False,0.36741850249248825,0.2,0.9878782869608557,full_method,0.49095031670416,0
0.9939393939393939,adv_feature,0.9939393939393939,,0.33557247739371787,0.2,0.9939388930214618,source_only,0.43233078096667804,0
0.9939393939393939,adv_feature,0.9939393939393939,,0.31213628751326067,0.2,0.9939388930214618,entropy_all_nodes,0.3980758755949308,0
0.9939393939393939,adv_feature,0.9939393939393939,False,0.3056585530620512,0.2,0.9939388930214618,full_method,0.3899853396121385,0
0.9636363636363636,adv_feature,0.9636363636363636,,0.42880185723183045,0.4,0.9632749326145552,source_only,0.641526367698214,0
0.9636363636363636,adv_feature,0.9636363636363636,,0.42063384896126205,0.4,0.9632749326145552,entropy_all_nodes,0.6270228873248378,0
0.9696969696969697,adv_feature,0.9636363636363636,False,0.42316094980229957,0.4,0.9694622860510712,full_method,0.6208631084925696,0
0.9757575757575757,adv_edge_add,0.9757575757575757,,0.3995535466884505,0.1,0.9757014729491793,source_only,0.5684028655760929,1
0.9757575757575757,adv_edge_add,0.9757575757575757,,0.38408148786434665,0.1,0.9757014729491793,entropy_all_nodes,0.5429187771845225,1
0.9757575757575757,adv_edge_add,0.9757575757575757,False,0.37959190470343623,0.1,0.9757014729491793,full_method,0.5356098664755249,1
0.9575757575757575,adv_edge_add,0.9575757575757575,,0.43314711032304176,0.2,0.9576242909576242,source_only,0.6656194052939812,1
0.9575757575757575,adv_edge_add,0.9575757575757575,,0.4246740081348001,0.2,0.9576242909576242,entropy_all_nodes,0.6503795816063755,1
0.9575757575757575,adv_edge_add,0.9575757575757575,False,0.4217789970456929,0.2,0.9576242909576242,full_method,0.6451361609598555,1
0.9757575757575757,adv_feature,0.9757575757575757,,0.3892859936821033,0.2,0.9757014729491793,source_only,0.5535273035308531,1
0.9757575757575757,adv_feature,0.9757575757575757,,0.3725848174676985,0.2,0.9757014729491793,entropy_all_nodes,0.526930771397594,1
0.9757575757575757,adv_feature,0.9757575757575757,False,0.3668353390625677,0.2,0.9757535674202341,full_method,0.5194316624138698,1
0.9515151515151515,adv_feature,0.9515151515151515,,0.46439821857136326,0.4,0.9515618173875056,source_only,0.7350724969043904,1
0.9393939393939394,adv_feature,0.9515151515151515,,0.4474862940427673,0.4,0.939571150097466,entropy_all_nodes,0.7263633788241642,1
0.9454545454545454,adv_feature,0.9515151515151515,False,0.4513782627538277,0.4,0.9455986256072858,full_method,0.7230258368574934,1
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.2959222511371216,0.1,0.987821154487821,source_only,0.3755053582176059,2
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.2714691421490252,0.1,0.987821154487821,entropy_all_nodes,0.3414620002110736,2
0.9878787878787879,adv_edge_add,0.9878787878787879,False,0.27230117388639197,0.1,0.987821154487821,full_method,0.3348830057231063,2
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.37644862299551535,0.2,0.987821154487821,source_only,0.49131086689366155,2
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.35604475934221125,0.2,0.987821154487821,entropy_all_nodes,0.46774646717478086,2
0.9818181818181818,adv_edge_add,0.9878787878787879,False,0.34245959154417854,0.2,0.9816988216520927,full_method,0.46686751676160465,2
0.9939393939393939,adv_feature,0.9939393939393939,,0.29340455972713886,0.2,0.9939388930214618,source_only,0.3717183022190548,2
0.9939393939393939,adv_feature,0.9939393939393939,,0.269588394223028,0.2,0.9939388930214618,entropy_all_nodes,0.3387539222551686,2
0.9939393939393939,adv_feature,0.9939393939393939,False,0.2641469962701122,0.2,0.9939388930214618,full_method,0.33167764309531894,2
0.9636363636363636,adv_feature,0.9636363636363636,,0.4018523870152395,0.4,0.9630701157249829,source_only,0.5965284080152232,2
0.9636363636363636,adv_feature,0.9636363636363636,,0.39340067150553204,0.4,0.9630701157249829,entropy_all_nodes,0.5871888564960019,2
0.9333333333333333,adv_feature,0.9636363636363636,False,0.3599780322172766,0.4,0.9312288300294297,full_method,0.5875437727987173,2
0.9818181818181818,adv_edge_add,0.9818181818181818,,0.26395227011249917,0.1,0.9818722809548498,source_only,0.3449765614062367,3
0.9818181818181818,adv_edge_add,0.9818181818181818,,0.23849216428485842,0.1,0.9818722809548498,entropy_all_nodes,0.3109465455223676,3
0.9818181818181818,adv_edge_add,0.9818181818181818,False,0.23394554625797764,0.1,0.9818722809548498,full_method,0.30499965293482756,3
0.9757575757575757,adv_edge_add,0.9757575757575757,,0.32498139570512263,0.2,0.9757560730037794,source_only,0.44375696475165805,3
0.9757575757575757,adv_edge_add,0.9757575757575757,,0.30614436551947805,0.2,0.9757560730037794,entropy_all_nodes,0.4171852822266606,3
0.9757575757575757,adv_edge_add,0.9757575757575757,False,0.30171072289922934,0.2,0.9757560730037794,full_method,0.41220330520382636,3
0.9818181818181818,adv_feature,0.9818181818181818,,0.2614137716895041,0.2,0.9818722809548498,source_only,0.3537030624567892,3
0.9818181818181818,adv_feature,0.9818181818181818,,0.23729608461593918,0.2,0.9818722809548498,entropy_all_nodes,0.32141560272292413,3
0.9818181818181818,adv_feature,0.9818181818181818,False,0.2323665233402978,0.2,0.9818722809548498,full_method,0.31502492564359047,3
0.9575757575757575,adv_feature,0.9575757575757575,,0.3710384967770188,0.4,0.9575757575757575,source_only,0.5627203663449089,3
0.9636363636363636,adv_feature,0.9575757575757575,,0.36531750047354045,0.4,0.9635792589921031,entropy_all_nodes,0.5442748678249671,3
0.9575757575757575,adv_feature,0.9575757575757575,False,0.35492790592628815,0.4,0.9575757575757575,full_method,0.5375322786866719,3
0.9636363636363636,adv_edge_add,0.9636363636363636,,0.3195461157083324,0.1,0.9637837309493914,source_only,0.4547082725084833,4
0.9636363636363636,adv_edge_add,0.9636363636363636,,0.297891965377151,0.1,0.9637837309493914,entropy_all_nodes,0.4229566698821824,4
0.9696969696969697,adv_edge_add,0.9636363636363636,False,0.2989164237267138,0.1,0.9698011864678531,full_method,0.4152969891516882,4
0.9636363636363636,adv_edge_add,0.9636363636363636,,0.3767081915708077,0.2,0.9637873780792781,source_only,0.5530947036200213,4
0.9575757575757575,adv_edge_add,0.9636363636363636,,0.3576426393395394,0.2,0.957819826080678,entropy_all_nodes,0.5336894165528994,4
0.9515151515151515,adv_edge_add,0.9636363636363636,False,0.3483568326966082,0.2,0.9520893758728112,full_method,0.5323127451218475,4
0.9636363636363636,adv_feature,0.9636363636363636,,0.31443831275831663,0.2,0.9638157729719424,source_only,0.45648867420122974,4
0.9696969696969697,adv_feature,0.9636363636363636,,0.2996525157347942,0.2,0.969785575048733,entropy_all_nodes,0.42621881348995583,4
0.9757575757575757,adv_feature,0.9636363636363636,False,0.2997898166996163,0.2,0.9758032910450977,full_method,0.4166291834888551,4
0.9454545454545454,adv_feature,0.9454545454545454,,0.4156360702061612,0.4,0.9463382837411695,source_only,0.66646281925599,4
0.9030303030303031,adv_feature,0.9454545454545454,,0.36636424263938644,0.4,0.903521700778258,entropy_all_nodes,0.664486273943311,4
0.9030303030303031,adv_feature,0.9454545454545454,False,0.36355733498266435,0.4,0.903521700778258,full_method,0.6674018982392309,4
