dataset,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
actor,clean,0.0,source_only,5,0.2177777777777778,0.012372809695177827,0.10986364790335781,0.03391454316856129,1.6066208065503134,0.0007545077618088113,0.014620716475663802,0.010192194435271178,0.7988732271092845,0.00030068075421209545,4.500034265220165e-06,5.138132155441374e-07,0.0,0.0,1.0,0.0,1.0,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,entropy_all_nodes,5,0.21444444444444444,0.010886621079036346,0.1051271494436585,0.031013116958562147,1.6066250914297306,0.0007551298244783515,0.011246142061055292,0.009670594412631368,0.7988749993018317,0.00030086535067654687,0.02950883999001235,0.0020027841164345136,35.0,0.0,1.0,0.0,1.0,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,tent_entropy,5,0.21444444444444444,0.010886621079036346,0.1051271494436585,0.031013116958562147,1.6066251289930105,0.0007551354897100713,0.011245788995425655,0.009670860297931697,0.7988750148342494,0.000300867063473588,0.022836039960384368,0.0018757892193299883,35.0,0.0,1.0,0.0,1.0,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,eata_filter,5,0.21444444444444444,0.010886621079036346,0.1051271494436585,0.031013116958562147,1.606624701184377,0.0007551721970660655,0.011244710135553587,0.009671234514350223,0.7988748458700938,0.0003008798471084395,0.22492674000095575,0.012911677373355185,35.0,0.0,0.24965714285714288,0.021235968289822545,0.24965714285714288,0.021235968289822545,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,graph_tta_consistency,5,0.21555555555555558,0.012862041003100254,0.105397545737459,0.03208004285344352,1.6066291593175361,0.0007567202988238422,0.012373376997245871,0.011771390732333995,0.7988766347543288,0.00030149671860301813,0.29880818000528964,0.028458780023929257,35.0,0.0,0.444739855155607,0.016607841087376046,0.4000000000000001,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,matcha_reliable,5,0.21555555555555558,0.012862041003100254,0.105397545737459,0.03208004285344352,1.6066256571515722,0.0007551852749563558,0.01235830437566327,0.011772833850912417,0.79887524261757,0.00030088980457930367,0.22434029998257757,0.006329933663049787,35.0,0.0,0.5,0.0,0.5,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,reliable_entropy,5,0.21555555555555558,0.012862041003100254,0.105397545737459,0.03208004285344352,1.6066254758840706,0.0007551788827470195,0.012361035771626738,0.011771487150929254,0.7988751645208476,0.00030088850377292146,0.22470835999120026,0.005014833909829692,35.0,0.0,0.44474050380825425,0.01660735117993423,0.4000000000000001,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,no_neighborhood_agreement,5,0.21555555555555558,0.012862041003100254,0.10578543547494226,0.032164800176751024,1.6066256749714323,0.000755141424464351,0.012353232018605265,0.011774104502675041,0.7988752390269706,0.00030086236544635633,0.14864765999373047,0.016079457939268203,35.0,0.0,0.4441258670542684,0.005359768048646702,0.4000000000000001,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,no_structural_stability,5,0.21555555555555558,0.012862041003100254,0.105397545737459,0.03208004285344352,1.6066254758838756,0.0007551788832063776,0.012361035788824448,0.011771487153549014,0.7988751645207631,0.000300888503967099,0.13062273999676108,0.009356297081494965,35.0,0.0,0.44474098139019136,0.016607504833091025,0.4000000000000001,0.0,300.0,0.0,2892.0,30.152943471575043
actor,clean,0.0,no_calibration_loss,5,0.21555555555555558,0.012862041003100254,0.105397545737459,0.03208004285344352,1.6066254758250964,0.0007551789251199464,0.012361035837786721,0.011771487187687342,0.7988751644973697,0.0003008885206480489,0.2332170399837196,0.011348592275830495,35.0,0.0,0.44474050386254865,0.01660735119146858,0.4000000000000001,0.0,300.0,0.0,2892.0,30.152943471575043
