accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,num_nodes,runtime_seconds,seed,shift
0.9146459747817652,0.2049490540634942,coauthor_cs,,0.22241766958937384,0.0,0.8277375599576114,source_only,0.523349404335022,2500,5.0000089686363935e-06,0,clean
0.9190106692531523,0.19274391938810947,coauthor_cs,,0.2090909737808166,0.0,0.833934046044272,entropy_all_nodes,0.494054913520813,2500,1.1441024000087054,0,clean
0.918525703200776,0.19130495067344536,coauthor_cs,False,0.2063426641904533,0.0,0.8331294696595771,full_method,0.49036747217178345,2500,32.48310150000907,0,clean
0.3700290979631426,0.8921744410911686,coauthor_cs,,0.22812584016533527,0.1,0.17169431890466746,source_only,2.9530234336853027,2500,1.0000003385357559e-05,0,feature_noise
0.3777885548011639,0.8842651267277538,coauthor_cs,,0.22678344130920738,0.1,0.17072017899570704,entropy_all_nodes,2.929096221923828,2500,0.6138332999980776,0,feature_noise
0.3850630455868089,0.8796988014309958,coauthor_cs,False,0.22226081659184513,0.1,0.17289379318460005,full_method,2.916299343109131,2500,32.48148260000744,0,feature_noise
0.9175557710960233,0.2026022066100174,coauthor_cs,,0.22118849271165872,0.15,0.8260114343601805,source_only,0.5177627801895142,2500,6.599992047995329e-06,0,edge_drop
0.9214354995150339,0.19048574231598445,coauthor_cs,,0.20739968385543786,0.15,0.8313630532936555,entropy_all_nodes,0.48866209387779236,2500,0.6581991999992169,0,edge_drop
0.9219204655674103,0.18907243123882905,coauthor_cs,False,0.20562983354125403,0.15,0.8323146513467028,full_method,0.4850504398345947,2500,32.402468699991005,0,edge_drop
0.8865179437439379,0.2570689122366466,coauthor_cs,,0.24717908975542693,0.1,0.7477818304230457,source_only,0.6479384303092957,2500,5.699999746866524e-06,0,edge_add
0.887972841901067,0.24288210684937386,coauthor_cs,,0.22877738891471133,0.1,0.7478500628808593,entropy_all_nodes,0.6137340068817139,2500,0.7684922999906121,0,edge_add
0.8874878758486906,0.2407443459163111,coauthor_cs,False,0.22495798942218348,0.1,0.7452169080763315,full_method,0.6083489656448364,2500,32.430605599991395,0,edge_add
0.9122211445198836,0.20754064697949293,coauthor_cs,,0.22286881069958964,0.0,0.8193435322696306,source_only,0.5318987965583801,2500,6.399990525096655e-06,1,clean
0.9136760426770126,0.19628088635571822,coauthor_cs,,0.2066809698129949,0.0,0.824154881688099,entropy_all_nodes,0.504368245601654,2500,0.5510734999988927,1,clean
0.9136760426770126,0.1946507184411878,coauthor_cs,False,0.20406459167845384,0.0,0.8227509061862378,full_method,0.5003039240837097,2500,31.548992299998645,1,clean
0.39233753637245394,0.861410105446872,coauthor_cs,,0.2224208382035088,0.1,0.16157362790334037,source_only,2.798978328704834,2500,6.199989002197981e-06,1,feature_noise
0.40591658583899126,0.8522548413501563,coauthor_cs,,0.21399340746069745,0.1,0.16433815718871453,entropy_all_nodes,2.774632215499878,2500,0.7947599999897648,1,feature_noise
0.41125121241513096,0.8472454210839508,coauthor_cs,False,0.2108650193355479,0.1,0.1656458445767237,full_method,2.761380195617676,2500,30.47523710000678,1,feature_noise
0.9161008729388943,0.2056494820279548,coauthor_cs,,0.221135263776571,0.15,0.8294386412388335,source_only,0.5254097580909729,2500,7.400012691505253e-06,1,edge_drop
0.9165858389912707,0.1946181523413161,coauthor_cs,,0.20446185578314804,0.15,0.8290549903828833,entropy_all_nodes,0.4984019696712494,2500,0.6089818999898853,1,edge_drop
0.9175557710960233,0.19298571660830485,coauthor_cs,False,0.20284520520329127,0.15,0.8298926754804764,full_method,0.49435141682624817,2500,34.991476299997885,1,edge_drop
0.8831231813773036,0.2576508073459046,coauthor_cs,,0.2387568439446411,0.1,0.744430981063534,source_only,0.6540383696556091,2500,7.100010407157242e-06,1,edge_add
0.8802133850630456,0.2447427701903928,coauthor_cs,,0.21646200649071737,0.1,0.7348631371252407,entropy_all_nodes,0.6225758790969849,2500,1.2401683000061894,1,edge_add
0.8811833171677983,0.24272481908859073,coauthor_cs,False,0.21394514734021214,0.1,0.7371246418899194,full_method,0.6174600124359131,2500,33.35412190000352,1,edge_add
0.9190106692531523,0.19645849915075927,coauthor_cs,,0.21670346696988455,0.0,0.8131449254908437,source_only,0.5033885836601257,2500,5.299996701069176e-06,2,clean
0.9199806013579049,0.1877585667338588,coauthor_cs,,0.20264694575223963,0.0,0.8109855260630872,entropy_all_nodes,0.4817025065422058,2500,1.1483350999915274,2,clean
0.9209505334626577,0.18691988702266746,coauthor_cs,False,0.20216397037792855,0.0,0.8112415885479951,full_method,0.4794074594974518,2500,32.738833899988094,2,clean
0.43452958292919497,0.8217354181359663,coauthor_cs,,0.1875725110738053,0.1,0.2085873858439107,source_only,2.711411476135254,2500,1.0400006431154907e-05,2,feature_noise
0.44131910766246363,0.8118150912506938,coauthor_cs,,0.19006664861647626,0.1,0.20777489959399464,entropy_all_nodes,2.6803624629974365,2500,1.1495944000052987,2,feature_noise
0.4451988360814743,0.8081664177494502,coauthor_cs,False,0.1888349427978005,0.1,0.20919794271225026,full_method,2.669621229171753,2500,33.94992110000749,2,feature_noise
0.9175557710960233,0.1951235549178664,coauthor_cs,,0.211782847037024,0.15,0.8117414315308645,source_only,0.4999166429042816,2500,5.900001269765198e-06,2,edge_drop
0.9170708050436469,0.1865275769735649,coauthor_cs,,0.19627169757416593,0.15,0.8106302554364414,entropy_all_nodes,0.4784093201160431,2500,0.7094276999996509,2,edge_drop
0.9170708050436469,0.18573164834387013,coauthor_cs,False,0.19487910962706045,0.15,0.8106302554364414,full_method,0.47619351744651794,2500,36.725008599998546,2,edge_drop
0.8928225024248303,0.24075569804699262,coauthor_cs,,0.2345180780447073,0.1,0.7349717666645236,source_only,0.609170138835907,2500,6.399990525096655e-06,2,edge_add
0.8942774005819593,0.2304199249469895,coauthor_cs,,0.2191012723860986,0.1,0.7345767000436523,entropy_all_nodes,0.5836728811264038,2500,1.2624349999969127,2,edge_add
0.8947623666343356,0.22914493281079135,coauthor_cs,False,0.21735303435622783,0.1,0.7347197633794055,full_method,0.5803467631340027,2500,40.331587699998636,2,edge_add
