delta_self,delta_tolerance,deployed_acc,intensity,no_detector_acc,phi_tolerance,regime,seed,setting,shift,source_acc,trigger_step,triggered
0.0001710288683573405,0.02,0.9818181818181818,0.0,0.9818181818181818,0.1,in_envelope,0,safety,clean,0.9818181818181818,,False
0.0001710288683573405,0.05,0.9818181818181818,0.0,0.9818181818181818,0.2,in_envelope,0,balanced,clean,0.9818181818181818,,False
0.0001710288683573405,0.2,0.9818181818181818,0.0,0.9818181818181818,0.5,in_envelope,0,aggressive,clean,0.9818181818181818,,False
0.0001710288683573405,0.000342057736714681,0.9818181818181818,0.0,0.9818181818181818,0.2,in_envelope,0,auto,clean,0.9818181818181818,,False
0.0001710288683573405,0.02,0.9575757575757575,0.45,0.9575757575757575,0.1,in_envelope,0,safety,feature_noise,0.9575757575757575,,False
0.0001710288683573405,0.05,0.9575757575757575,0.45,0.9575757575757575,0.2,in_envelope,0,balanced,feature_noise,0.9575757575757575,,False
0.0001710288683573405,0.2,0.9575757575757575,0.45,0.9575757575757575,0.5,in_envelope,0,aggressive,feature_noise,0.9575757575757575,,False
0.0001710288683573405,0.000342057736714681,0.9575757575757575,0.45,0.9575757575757575,0.2,in_envelope,0,auto,feature_noise,0.9575757575757575,45,True
0.0001710288683573405,0.02,0.9333333333333333,0.35,0.9333333333333333,0.1,in_envelope,0,safety,edge_drop,0.9333333333333333,,False
0.0001710288683573405,0.05,0.9333333333333333,0.35,0.9333333333333333,0.2,in_envelope,0,balanced,edge_drop,0.9333333333333333,,False
0.0001710288683573405,0.2,0.9333333333333333,0.35,0.9333333333333333,0.5,in_envelope,0,aggressive,edge_drop,0.9333333333333333,,False
0.0001710288683573405,0.000342057736714681,0.9333333333333333,0.35,0.9333333333333333,0.2,in_envelope,0,auto,edge_drop,0.9333333333333333,,False
0.0001710288683573405,0.02,0.9636363636363636,0.35,0.9636363636363636,0.1,in_envelope,0,safety,edge_add,0.9636363636363636,,False
0.0001710288683573405,0.05,0.9636363636363636,0.35,0.9636363636363636,0.2,in_envelope,0,balanced,edge_add,0.9636363636363636,,False
0.0001710288683573405,0.2,0.9636363636363636,0.35,0.9636363636363636,0.5,in_envelope,0,aggressive,edge_add,0.9636363636363636,,False
