accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.6592592592592592,texas,,0.25615773797035213,0.06093189964157706,0.0,source_only,1.165284276008606,0,clean
0.6666666666666666,texas,,0.2566146495165649,0.06093189964157706,0.0,entropy_all_nodes,1.1492564678192139,0,clean
0.6666666666666666,texas,False,0.2607379209112238,0.06093189964157706,0.0,full_method,1.1620666980743408,0,clean
0.4148148148148148,texas,,0.2964115520318349,0.06093189964157706,0.1,source_only,1.9066998958587646,0,feature_noise
0.4148148148148148,texas,,0.28059782297522934,0.06093189964157706,0.1,entropy_all_nodes,1.8918921947479248,0,feature_noise
0.4074074074074074,texas,False,0.26774946804399846,0.06093189964157706,0.1,full_method,1.8987923860549927,0,feature_noise
0.6444444444444445,texas,,0.2501192432862741,0.06093189964157706,0.1,source_only,1.180845022201538,0,edge_drop
0.6518518518518519,texas,,0.25734792638708043,0.06093189964157706,0.1,entropy_all_nodes,1.1658035516738892,0,edge_drop
0.6444444444444445,texas,False,0.24806791543960569,0.06093189964157706,0.1,full_method,1.1806843280792236,0,edge_drop
0.6592592592592592,texas,,0.26454276839892066,0.06093189964157706,0.05,source_only,1.1590666770935059,0,edge_add
0.674074074074074,texas,,0.26032709744241506,0.06093189964157706,0.05,entropy_all_nodes,1.1436901092529297,0,edge_add
0.6592592592592592,texas,False,0.2564456094194342,0.06093189964157706,0.05,full_method,1.1560492515563965,0,edge_add
0.4888888888888889,texas,,0.13721994868031254,0.06093189964157706,0.0,source_only,1.353336215019226,1,clean
0.4962962962962963,texas,,0.1470201364269963,0.06093189964157706,0.0,entropy_all_nodes,1.3606314659118652,1,clean
0.4962962962962963,texas,False,0.14111769773341992,0.06093189964157706,0.0,full_method,1.3903543949127197,1,clean
0.3925925925925926,texas,,0.26543683122705536,0.06093189964157706,0.1,source_only,2.218825340270996,1,feature_noise
0.3925925925925926,texas,,0.2631042131671199,0.06093189964157706,0.1,entropy_all_nodes,2.223721981048584,1,feature_noise
0.3925925925925926,texas,False,0.26249804121476633,0.06093189964157706,0.1,full_method,2.243016242980957,1,feature_noise
0.4740740740740741,texas,,0.16758576631546027,0.06093189964157706,0.1,source_only,1.3908189535140991,1,edge_drop
0.48148148148148145,texas,,0.1352963995050501,0.06093189964157706,0.1,entropy_all_nodes,1.3961496353149414,1,edge_drop
0.48148148148148145,texas,False,0.1360502717671571,0.06093189964157706,0.1,full_method,1.4203158617019653,1,edge_drop
