accuracy,backbone,brier,detector_trigger_step,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
1.0,gcn,0.12101042329754311,,,0.25551539076714236,0.0,1.0,source_only,0.30839828358304994,3.700028173625469e-06,0,clean
1.0,gcn,0.09165252637684776,,,0.2123033416582293,0.0,1.0,entropy_all_nodes,0.2514460211465147,0.05694049992598593,0,clean
1.0,gcn,0.09089199409227286,,False,0.20804700525859585,0.0,1.0,full_method,0.24717001023266333,0.3308635000139475,0,clean
0.9757575757575757,gcn,0.14997509046452195,,,0.254009088286782,0.45,0.9756413339746673,source_only,0.34759842870362134,9.999959729611874e-06,0,feature_noise
0.9757575757575757,gcn,0.12485448975011716,,,0.21756007212606293,0.45,0.9758032910450978,entropy_all_nodes,0.2978130097832438,0.0521534999134019,0,feature_noise
0.9575757575757575,gcn,0.1299747207295206,,False,0.19215530439348752,0.45,0.9574202837477174,full_method,0.2998100076555618,0.33963699999731034,0,feature_noise
0.9454545454545454,gcn,0.13884488790153823,,,0.20545617466754112,0.35,0.9455419940521832,source_only,0.3212385110976657,1.810002140700817e-05,0,edge_drop
0.9515151515151515,gcn,0.11708641172561055,,,0.1687716414619477,0.35,0.9517148335583561,entropy_all_nodes,0.273707559706978,0.046773700043559074,0,edge_drop
0.9515151515151515,gcn,0.11648156379826377,,False,0.15129976998350417,0.35,0.9517148335583561,full_method,0.26994519789896876,0.3671588000142947,0,edge_drop
0.9818181818181818,gcn,0.24464070804779964,,,0.366181436026778,0.35,0.9818166790643854,source_only,0.5041223163808314,1.0100076906383038e-05,0,edge_add
0.9757575757575757,gcn,0.21818207817035853,,,0.3332103377474125,0.35,0.9758116748942438,entropy_all_nodes,0.46296112786050064,0.0458783000940457,0,edge_add
0.9696969696969697,gcn,0.21141979573255448,,False,0.31835408940334214,0.35,0.9698469544752459,full_method,0.45134169968383125,0.34455749997869134,0,edge_add
0.8424242424242424,gcn,0.3576328512588838,,,0.2871799997583325,0.25,0.8429120847729275,source_only,0.6576915852627038,9.00006853044033e-06,0,homophily_shift
0.8484848484848485,gcn,0.3438685971350586,,,0.27711161235440673,0.25,0.8492373310200246,entropy_all_nodes,0.6359912552537966,0.04548069997690618,0,homophily_shift
0.8424242424242424,gcn,0.3396186889084801,,False,0.262739573663738,0.25,0.843362753906594,full_method,0.6280241078349644,0.3518061999930069,0,homophily_shift
0.6666666666666666,gcn,0.5356120920521515,,,0.20572901877503805,0.5,0.6662569886254097,source_only,0.9114207644762249,1.0499963536858559e-05,0,homophily_shift
0.6545454545454545,gcn,0.5342434423805018,,,0.18822644335611763,0.5,0.6534955267874523,entropy_all_nodes,0.9097726304905035,0.047865299973636866,0,homophily_shift
0.6545454545454545,gcn,0.5344577777221273,,False,0.18474597498665546,0.5,0.6535674146417083,full_method,0.9102950160475428,0.3590275999158621,0,homophily_shift
0.9818181818181818,gcn,0.19674475587143178,,,0.3179999579611502,0.0,0.9818166790643854,source_only,0.43225672834470996,1.550000160932541e-05,1,clean
0.9818181818181818,gcn,0.1619934553106456,,,0.2770855764300104,0.0,0.9818166790643854,entropy_all_nodes,0.37415256417970455,0.05698540003504604,1,clean
0.9818181818181818,gcn,0.15828313391582094,,False,0.2687184308747856,0.0,0.9818166790643854,full_method,0.3649767652411848,0.3575029999483377,1,clean
0.9636363636363636,gcn,0.2204324676667848,,,0.3177478335214249,0.45,0.9635099050986901,source_only,0.46543600117835704,1.2699980288743973e-05,1,feature_noise
0.9515151515151515,gcn,0.1927462681339099,,,0.27177098939084493,0.45,0.9511237533361427,entropy_all_nodes,0.4177599406773559,0.048471600050106645,1,feature_noise
0.9454545454545454,gcn,0.19255600997951028,,False,0.2654391109806428,0.45,0.9448604492852279,full_method,0.4130681013721026,0.3609868000494316,1,feature_noise
