delta_t,drift_high,drift_low,drift_mid,intensity,phi_t,seed,shift,step
0.0,0.0,0.0,0.0,0.45,0.0,0,feature_noise,0
0.0009013182028116221,0.0008578142349232598,0.0009609586657048919,0.0008851817078067148,0.45,0.0,0,feature_noise,1
0.001793952935319106,0.0017061895938864646,0.0019142396490575697,0.0017614295630132837,0.45,0.0,0,feature_noise,2
0.0026780892124960896,0.002544955075188704,0.002860443099762744,0.0026288694625368203,0.45,0.0,0,feature_noise,3
0.003553916614831546,0.003374411993930626,0.0037996272656167784,0.0034877105849472345,0.45,0.0,0,feature_noise,4
0.004420932305061465,0.004194434917524248,0.004730842497012833,0.004337519500647313,0.45,0.0,0,feature_noise,5
0.005279830721329648,0.005005105190727943,0.005655500534025304,0.005178886439235697,0.45,0.0,0,feature_noise,6
0.006131218955050792,0.0058065473948408775,0.006572754558278993,0.006014354912032505,0.45,0.0033333333333333335,0,feature_noise,7
0.0069797489934999195,0.006597305223496774,0.007486183961192605,0.00685575779581038,0.45,0.006666666666666667,0,feature_noise,8
0.007821958267224796,0.007377942761503942,0.008399658969153623,0.007688273071016827,0.45,0.006666666666666667,0,feature_noise,9
0.008655523916453819,0.008149214655202575,0.009305391923732032,0.00851196517042685,0.45,0.006666666666666667,0,feature_noise,10
0.00948035440607801,0.008911029822702976,0.010203315833029136,0.009326717562501918,0.45,0.006666666666666667,0,feature_noise,11
0.010296649317744802,0.009663235431885409,0.01109397938004597,0.01013273314130303,0.45,0.006666666666666667,0,feature_noise,12
0.011104336396236722,0.01040630366008699,0.011976742556564779,0.010929962972058394,0.45,0.006666666666666667,0,feature_noise,13
0.011903443328554753,0.011140046776708545,0.012851863690916732,0.01171841951803898,0.45,0.006666666666666667,0,feature_noise,14
0.012694114558178149,0.011864416365037767,0.013719688733507707,0.012498238575988974,0.45,0.006666666666666667,0,feature_noise,15
0.013476362227518393,0.0125799059965781,0.014579687563404997,0.013269493122572085,0.45,0.006666666666666667,0,feature_noise,16
0.014250236929215454,0.013286166658739496,0.01543238263847757,0.014032161490429296,0.45,0.006666666666666667,0,feature_noise,17
