accuracy,brier,ece,intensity,lambda_af,lambda_cal,nll,seed,shift
0.9575757575757575,0.12935253431905308,0.19095569540894336,0.45,0.0,0.0,0.2983851590565076,0,feature_noise
0.9575757575757575,0.12946300214492182,0.19114873808183905,0.45,0.001,0.1,0.2986241292281257,0,feature_noise
0.9575757575757575,0.1299747207295206,0.19215530439348752,0.45,0.01,0.5,0.2998100076555618,0,feature_noise
0.9696969696969697,0.13102738927354216,0.20679981261416766,0.45,0.05,1.0,0.3025870885841176,0,feature_noise
0.9696969696969697,0.13246850509152244,0.20997264646021488,0.45,0.1,2.0,0.30620026276778534,0,feature_noise
0.9696969696969697,0.2105346323821768,0.31735110707299646,0.35,0.0,0.0,0.4498934136972635,0,edge_add
0.9696969696969697,0.2106728727379159,0.3175050382681041,0.35,0.001,0.1,0.4501180909150803,0,edge_add
0.9696969696969697,0.21141979573255448,0.31835408940334214,0.35,0.01,0.5,0.45134169968383125,0,edge_add
0.9696969696969697,0.21340983259014737,0.32068141216822293,0.35,0.05,1.0,0.45463534349400164,0,edge_add
0.9696969696969697,0.2158967918707483,0.3235459371089984,0.35,0.1,2.0,0.45871806941257703,0,edge_add
0.8424242424242424,0.33924068563892884,0.26221106460849347,0.25,0.0,0.0,0.6273913475195427,0,homophily_shift
0.8424242424242424,0.33929536910875535,0.2622829139348391,0.25,0.001,0.1,0.6274809707482905,0,homophily_shift
0.8424242424242424,0.3396186889084801,0.262739573663738,0.25,0.01,0.5,0.6280241078349644,0,homophily_shift
0.8424242424242424,0.3406021132034783,0.26422352982935465,0.25,0.05,1.0,0.6297144177222371,0,homophily_shift
0.8424242424242424,0.3418113322298807,0.2660005440039931,0.25,0.1,2.0,0.631770483736747,0,homophily_shift
0.9454545454545454,0.19165001612860622,0.26409859643643496,0.45,0.0,0.0,0.41137455961564323,1,feature_noise
0.9454545454545454,0.19180862390466172,0.26431692222023684,0.45,0.001,0.1,0.4116606986097788,1,feature_noise
0.9454545454545454,0.19255600997951028,0.2654391109806428,0.45,0.01,0.5,0.4130681013721026,1,feature_noise
0.9454545454545454,0.19408723736982172,0.26819910764045723,0.45,0.05,1.0,0.41623934693455555,1,feature_noise
0.9454545454545454,0.19615206020360498,0.2716879598677432,0.45,0.1,2.0,0.4203563168596116,1,feature_noise
0.9515151515151515,0.3163430969554376,0.38880365525783617,0.35,0.0,0.0,0.6047502649912204,1,edge_add
0.9515151515151515,0.31641510623756613,0.3888735891836515,0.35,0.001,0.1,0.6048568895112386,1,edge_add
0.9454545454545454,0.31685810148524945,0.3832594282911633,0.35,0.01,0.5,0.6055155182550175,1,edge_add
0.9454545454545454,0.31825867444793526,0.38471608351691,0.35,0.05,1.0,0.607602169862147,1,edge_add
0.9454545454545454,0.3199654166596855,0.38645798383614893,0.35,0.1,2.0,0.6101307986171259,1,edge_add
0.8303030303030303,0.3920241815752911,0.3184916124616101,0.25,0.0,0.0,0.7073274691063696,1,homophily_shift
0.8303030303030303,0.39206505497060656,0.3185313955950001,0.25,0.001,0.1,0.7073882279542346,1,homophily_shift
0.8303030303030303,0.39233916585059586,0.31880727751062965,0.25,0.01,0.5,0.7077968465261016,1,homophily_shift
0.8363636363636363,0.39329708956215137,0.3137280317124288,0.25,0.05,1.0,0.7092248413977179,1,homophily_shift
0.8363636363636363,0.39443571195738636,0.31488828405259794,0.25,0.1,2.0,0.7109191724230318,1,homophily_shift
0.9939393939393939,0.0764401671300631,0.17467055846425902,0.45,0.0,0.0,0.21742395725315847,2,feature_noise
0.9939393939393939,0.07654551545308176,0.17486634458992487,0.45,0.001,0.1,0.21766305514907755,2,feature_noise
0.9939393939393939,0.07709668283676144,0.17589300716222692,0.45,0.01,0.5,0.21891532914336645,2,feature_noise
0.9939393939393939,0.07850289691464517,0.17851148198387834,0.45,0.05,1.0,0.22210584877689002,2,feature_noise
0.9939393939393939,0.08030044248384821,0.18180724478795177,0.45,0.1,2.0,0.2261373267812432,2,feature_noise
0.9757575757575757,0.1800613224937115,0.2896869196529686,0.35,0.0,0.0,0.40074611047744774,2,edge_add
0.9757575757575757,0.18018357743400965,0.28983860983548637,0.35,0.001,0.1,0.40095708586607465,2,edge_add
0.9757575757575757,0.18082399120012563,0.29066228685604595,0.35,0.01,0.5,0.4020823303051953,2,edge_add
0.9818181818181818,0.18245265765272423,0.29892977295530015,0.35,0.05,1.0,0.405020313741029,2,edge_add
0.9818181818181818,0.18453032791652138,0.3016417495696533,0.35,0.1,2.0,0.40870863002047636,2,edge_add
0.9030303030303031,0.29123646354140037,0.2900510821290949,0.25,0.0,0.0,0.5593486525989267,2,homophily_shift
0.9030303030303031,0.29129935368312243,0.290132460770955,0.25,0.001,0.1,0.5594508354618416,2,homophily_shift
0.9030303030303031,0.29166649411080925,0.2919165175181759,0.25,0.01,0.5,0.5600531591553082,2,homophily_shift
0.9030303030303031,0.29274292706530397,0.2934385140223345,0.25,0.05,1.0,0.5618405923586134,2,homophily_shift
0.9030303030303031,0.29407884605201423,0.2952682453813032,0.25,0.1,2.0,0.5640381925670721,2,homophily_shift
