correlation,intensity,seed,shift,signal_a,signal_b
0.0,0.45,2,feature_noise,confidence,source
0.2243463733761215,0.45,2,feature_noise,confidence,degree
0.2504173548068471,0.45,2,feature_noise,agreement,stability
0.0,0.45,2,feature_noise,agreement,source
-0.12183509439671027,0.45,2,feature_noise,agreement,degree
0.0,0.45,2,feature_noise,stability,source
0.07366584174341526,0.45,2,feature_noise,stability,degree
0.0,0.45,2,feature_noise,source,degree
0.6617475975981209,0.35,2,edge_drop,confidence,agreement
0.21513650684931807,0.35,2,edge_drop,confidence,stability
0.0,0.35,2,edge_drop,confidence,source
0.22612225973291605,0.35,2,edge_drop,confidence,degree
0.13219919144596654,0.35,2,edge_drop,agreement,stability
0.0,0.35,2,edge_drop,agreement,source
-0.06847312752062625,0.35,2,edge_drop,agreement,degree
0.0,0.35,2,edge_drop,stability,source
0.033886478223401406,0.35,2,edge_drop,stability,degree
0.0,0.35,2,edge_drop,source,degree
0.7273941413919638,0.35,2,edge_add,confidence,agreement
0.17832494526742373,0.35,2,edge_add,confidence,stability
0.0,0.35,2,edge_add,confidence,source
0.17640790399220482,0.35,2,edge_add,confidence,degree
0.19943769458444843,0.35,2,edge_add,agreement,stability
0.0,0.35,2,edge_add,agreement,source
-0.09417048496233274,0.35,2,edge_add,agreement,degree
0.0,0.35,2,edge_add,stability,source
0.0911546551559864,0.35,2,edge_add,stability,degree
0.0,0.35,2,edge_add,source,degree
0.6737420465206964,0.25,2,homophily_shift,confidence,agreement
0.189090913873853,0.25,2,homophily_shift,confidence,stability
0.0,0.25,2,homophily_shift,confidence,source
-0.035318945526382296,0.25,2,homophily_shift,confidence,degree
0.13729409588620622,0.25,2,homophily_shift,agreement,stability
0.0,0.25,2,homophily_shift,agreement,source
-0.28003280309725176,0.25,2,homophily_shift,agreement,degree
0.0,0.25,2,homophily_shift,stability,source
0.09256403568586562,0.25,2,homophily_shift,stability,degree
0.0,0.25,2,homophily_shift,source,degree
0.7468697410086879,0.0,3,clean,confidence,agreement
0.33687588298617827,0.0,3,clean,confidence,stability
0.0,0.0,3,clean,confidence,source
0.2848212460933429,0.0,3,clean,confidence,degree
0.1693161282017384,0.0,3,clean,agreement,stability
0.0,0.0,3,clean,agreement,source
-0.00490443727704537,0.0,3,clean,agreement,degree
0.0,0.0,3,clean,stability,source
0.18009348841690287,0.0,3,clean,stability,degree
0.0,0.0,3,clean,source,degree
0.6821085727546734,0.45,3,feature_noise,confidence,agreement
0.2629960391935777,0.45,3,feature_noise,confidence,stability
0.0,0.45,3,feature_noise,confidence,source
0.2559890539695953,0.45,3,feature_noise,confidence,degree
0.04346644491660476,0.45,3,feature_noise,agreement,stability
0.0,0.45,3,feature_noise,agreement,source
