shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std
clean,0.0,source_only,2,0.9791666666666666,0.004166666666666652,0.9791073124406457,0.004115226337448541,0.6006241379056669,0.02749844887285091,0.4210173736949243,0.021548991645181148,0.3148395708311187,0.018632045738641412,2.300017513334751e-06,6.00004568696022e-07,0.0,0.0
clean,0.0,entropy_all_nodes,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5735241655502059,0.030625708390313866,0.38649085350528756,0.015409742822690309,0.29721670374097797,0.02083600543320782,0.018283350014826283,0.002517549990443513,35.0,0.0
clean,0.0,reliable_entropy,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5723981209161656,0.0309311063163642,0.3853114767277446,0.015697727852071824,0.29660099368350007,0.021098544374142714,0.1121005999884801,0.006435700008296408,35.0,0.0
clean,0.0,no_neighborhood_agreement,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5730632446302475,0.030873201191229438,0.38585141865293715,0.01562880732422231,0.29701246961830935,0.021050020321626006,0.06811440001183655,0.004782699994393624,35.0,0.0
clean,0.0,no_structural_stability,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5723993457454223,0.030930694397299896,0.38531217272376816,0.01569749954134811,0.296601810765849,0.021098299851484342,0.07366069999989122,0.013281599996844307,35.0,0.0
clean,0.0,no_calibration_loss,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5722889519241489,0.03096458314465189,0.38524485634471245,0.015720282500872484,0.29652805127527543,0.02111919677428331,0.13183754998317454,0.0221544499945594,35.0,0.0
clean,0.0,no_anti_forgetting,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5721745722242682,0.03095928012286625,0.38515292394944967,0.015717687818046833,0.29646161450454944,0.021119074090042933,0.14106860000174493,0.025104600004851818,35.0,0.0
clean,0.0,full_method,2,0.9625,0.004166666666666652,0.9625596706828912,0.004077927391021308,0.5723981209161656,0.0309311063163642,0.3853114767277446,0.015697727852071824,0.29660099368350007,0.021098544374142714,0.13315615001192782,0.022270750007010065,35.0,0.0
feature_noise,0.35,source_only,2,0.9583333333333334,0.0,0.9587287338616184,0.00012940146710521683,0.6059648702372333,0.04037909145927343,0.39861809448311525,0.024729549687992042,0.31990655922869843,0.028095701941634244,3.149994881823659e-06,5.00003807246685e-08,0.0,0.0
feature_noise,0.35,entropy_all_nodes,2,0.9416666666666667,0.0,0.9421358894740626,0.0005133145181542287,0.5807694610970134,0.04518287739761828,0.3633753199851856,0.02765055064399044,0.3044386026360361,0.031601200962598996,0.021766249992651865,0.006392749986844137,35.0,0.0
feature_noise,0.35,reliable_entropy,2,0.9333333333333333,0.008333333333333304,0.9334872953393996,0.009161908652817186,0.5797807578586929,0.045553078412965464,0.35346374120427476,0.03635990627279129,0.3040708621402386,0.03191547067014283,0.133731349997106,0.026928749997750856,35.0,0.0
feature_noise,0.35,no_neighborhood_agreement,2,0.9333333333333333,0.008333333333333304,0.9334872953393996,0.009161908652817186,0.580450439562737,0.04544121381743116,0.35613063570427594,0.03433773992552816,0.30441935850865837,0.03182163953276218,0.08808339999814052,0.017735799992806278,35.0,0.0
feature_noise,0.35,no_structural_stability,2,0.9333333333333333,0.008333333333333304,0.9334872953393996,0.009161908652817186,0.5797820791385686,0.04555246960555592,0.3534646977161318,0.036359530232554504,0.3040716764965482,0.03191508891631384,0.07606735000445042,0.01483975000155624,35.0,0.0
feature_noise,0.35,no_calibration_loss,2,0.9333333333333333,0.008333333333333304,0.9334872953393996,0.009161908652817186,0.579664950308696,0.04559230861458863,0.353390489835944,0.036387484601796194,0.3039957777282605,0.031939018317729634,0.12828639999497682,0.024220699997385964,35.0,0.0
feature_noise,0.35,no_anti_forgetting,2,0.9333333333333333,0.008333333333333304,0.9334872953393996,0.009161908652817186,0.5795811464417626,0.04559680184683035,0.3532938892234494,0.036389165494412706,0.3039583913874756,0.031948710630640365,0.132883350001066,0.027575150001212023,35.0,0.0
feature_noise,0.35,full_method,2,0.9333333333333333,0.008333333333333304,0.9334872953393996,0.009161908652817186,0.5797807578586929,0.045553078412965464,0.35346374120427476,0.03635990627279129,0.3040708621402386,0.03191547067014283,0.13620435001212172,0.02614505001110956,35.0,0.0
edge_drop,0.25,source_only,2,0.9666666666666667,0.0,0.9667790799655915,0.00014148189167906278,0.5958649990679534,0.03211934316616588,0.4023458262580248,0.018122993244066854,0.31285538589367656,0.021642358637858294,2.8999929782003164e-06,4.00003045797348e-07,0.0,0.0
edge_drop,0.25,entropy_all_nodes,2,0.9458333333333333,0.004166666666666652,0.9459017639675609,0.004868396104924844,0.5681202490653292,0.03592162919143421,0.36162464413700535,0.02487593771389046,0.2954328785586531,0.024310695206815086,0.02162894999491982,0.0028514500008895993,35.0,0.0
edge_drop,0.25,reliable_entropy,2,0.9416666666666667,0.008333333333333304,0.9416128140299406,0.009157346042545145,0.5670733061419956,0.036098111447552816,0.3559119843715326,0.029271658897002645,0.29501700215733684,0.02449913598145237,0.13655794999795035,0.020880049996776506,35.0,0.0
edge_drop,0.25,no_neighborhood_agreement,2,0.9416666666666667,0.008333333333333304,0.9416128140299406,0.009157346042545145,0.5677555913424278,0.03611067054666872,0.356625364976055,0.02926616214094338,0.29538184309706217,0.02447912265063537,0.0860530999925686,0.01996359998884145,35.0,0.0
edge_drop,0.25,no_structural_stability,2,0.9416666666666667,0.008333333333333304,0.9416128140299406,0.009157346042545145,0.5670752778313954,0.03609734061912295,0.3559138573184462,0.029270654215734715,0.2950181694717396,0.02449874128921581,0.07423479999124538,0.014454600008320995,35.0,0.0
edge_drop,0.25,no_calibration_loss,2,0.9416666666666667,0.008333333333333304,0.9416128140299406,0.009157346042545145,0.5669393344095307,0.03613910386690855,0.35582832229690436,0.02929884749213557,0.2949295879793615,0.024523797025026495,0.13056545000290498,0.026653949986211956,35.0,0.0
edge_drop,0.25,no_anti_forgetting,2,0.9416666666666667,0.008333333333333304,0.9416128140299406,0.009157346042545145,0.5668520310821097,0.03612988167028758,0.3557341563056885,0.029295813066531146,0.29488726385146735,0.024522045842115342,0.13405235001118854,0.031055850005941465,35.0,0.0
edge_drop,0.25,full_method,2,0.9416666666666667,0.008333333333333304,0.9416128140299406,0.009157346042545145,0.5670733061419956,0.036098111447552816,0.3559119843715326,0.029271658897002645,0.29501700215733684,0.02449913598145237,0.13729939999757335,0.02732220001053065,35.0,0.0
