shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std
clean,0.0,source_only,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693537691267,0.0004635088327956671,0.043566173786618874,0.007100863829004649,0.85715980487196,0.00013260058379854778,3.7999998312443495e-06,4.00003045797348e-07,0.0,0.0
clean,0.0,entropy_all_nodes,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.945969357587864,0.00046352503454294425,0.04356617793726363,0.007100851873145665,0.8571598059671336,0.0001326052192122118,0.25198605001787655,0.00033584999619051814,6.0,0.0
clean,0.0,reliable_entropy,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693571755634,0.0004635241930219802,0.04356617779087906,0.007100852396930819,0.8571598058491496,0.00013260497865907883,1.179148700000951,0.0035229999921284616,6.0,0.0
clean,0.0,no_neighborhood_agreement,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693575878547,0.0004635250346209929,0.0435661779372681,0.00710085187308971,0.8571598059671309,0.00013260521923452728,1.112682599996333,0.008788599996478297,6.0,0.0
clean,0.0,no_structural_stability,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693571755634,0.0004635241930219802,0.04356617779087912,0.007100852396930708,0.8571598058491496,0.00013260497865907883,0.4923699999926612,0.00011799999629147351,6.0,0.0
clean,0.0,no_calibration_loss,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693571755634,0.0004635241930219802,0.04356617779087906,0.007100852396930819,0.8571598058491496,0.00013260497865907883,1.169403499996406,0.007846800013794564,6.0,0.0
clean,0.0,no_anti_forgetting,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693571798242,0.00046352421223339046,0.043566177795887305,0.007100852382632368,0.8571598058503719,0.00013260498415579303,1.1777172000147402,0.0012568999954964966,6.0,0.0
clean,0.0,full_method,2,0.1505,0.043500000000000004,0.09584911018736908,0.028327571301702485,1.9459693571755634,0.0004635241930219802,0.04356617779087906,0.007100852396930819,0.8571598058491496,0.00013260497865907883,1.1737292499892646,0.006716749994666316,6.0,0.0
feature_noise,0.35,source_only,2,0.134,0.031000000000000007,0.08252701430972781,0.023533743132767584,1.959257274175846,0.020311441536880803,0.038390087676022075,0.029307390012477494,0.8610592562643775,0.005862544938386838,4.3000036384910345e-06,1.00000761449337e-07,0.0,0.0
feature_noise,0.35,entropy_all_nodes,2,0.133,0.039999999999999994,0.07057196253904621,0.029623459995444697,1.9652937053582045,0.028947862018736226,0.04808185448104314,0.039611446044825124,0.8628818093275172,0.008432001120651011,1.3037479999911739,0.027150399997481145,35.0,0.0
