dataset,backbone,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
synthetic,gcn,clean,0.0,source_only,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.0329188534989953,0.019930236516672747,0.016049151988256554,0.003485321128980035,0.015325141768567344,0.011553103689827027,5.999999120831489e-06,6.356051674984899e-07,0.0,0.0,1.0,0.0,1.0,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,entropy_all_nodes,5,0.9914285714285714,0.0081926907305168,0.9914399278339541,0.008171262036543451,0.03131317123770714,0.020788293481546004,0.013133105805941982,0.002810457648746893,0.01451869824730459,0.011947596520847552,0.9655885600019246,0.82362380187724,90.0,0.0,1.0,0.0,1.0,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,tent_entropy,5,0.9914285714285714,0.0081926907305168,0.9914399278339541,0.008171262036543451,0.031284592859447,0.020804113089741193,0.013118966903005319,0.0028181375626621387,0.014504943898745732,0.011954416620746006,0.9819137199985561,0.9157723751271934,90.0,0.0,1.0,0.0,1.0,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,eata_filter,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.032761715538799766,0.020014934013415277,0.015909068243844176,0.0034418838772693303,0.015275984974911786,0.011573734025370508,3.724831100003212,1.7567753479393438,90.0,0.0,0.4854876543209876,0.0282210273231379,0.4854876543209876,0.0282210273231379,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,graph_tta_consistency,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.03326398190110922,0.020000316563328523,0.015513864216350376,0.00402370320179235,0.015235526889104862,0.011785880922275711,3.7180290199961745,1.436863022104244,90.0,0.0,0.43361621685350576,0.0039510925386883776,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,matcha_reliable,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.03265033401548863,0.020305682515542885,0.014835173657962265,0.003955718810971652,0.015224051868711041,0.011747194577382991,4.01665918000217,2.108067945317957,90.0,0.0,0.5,0.0,0.5,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,reliable_entropy,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.03211009930819273,0.020282569054893444,0.01433753212292988,0.004018009204371875,0.014961533886045967,0.01174337908124998,3.3519308799994176,1.3524217185457355,90.0,0.0,0.43425875568097955,0.004180499910089954,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,no_neighborhood_agreement,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.031988434679806235,0.02030814425626985,0.014278207052321653,0.004030336053611698,0.014900924870730132,0.011748188784096373,3.0618729599984364,1.6034425194739315,90.0,0.0,0.4448622721778593,0.0020357325229735474,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,no_structural_stability,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.0321094024926424,0.020279313296772305,0.014338003283455247,0.004018065590525542,0.014961105828549565,0.011741770303508281,1.8075112399994395,0.7605055463794744,90.0,0.0,0.4341861860603684,0.004268702939659744,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,no_calibration_loss,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.03211007378995419,0.02028258275957284,0.014337503115336093,0.0040179683852270085,0.014961529103326187,0.011743383257232913,3.5880135599989442,1.6589314922780967,90.0,0.0,0.43425876183033135,0.0041805015412830805,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,no_anti_forgetting,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.03209351655095816,0.020289953370324697,0.014328742850394469,0.004017701332024543,0.01495417346577475,0.011747346489312922,3.4449585599970307,1.4114214800593095,90.0,0.0,0.43426031630049555,0.004180545750075291,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
synthetic,gcn,clean,0.0,full_method,5,0.9923809523809524,0.008302664654363202,0.9923923087863351,0.008280186482481558,0.03211009930819273,0.020282569054893444,0.01433753212292988,0.004018009204371875,0.014961533886045967,0.01174337908124998,3.954538200001116,1.9832972122141654,90.0,0.0,0.43425875568097955,0.004180499910089954,0.3999999999999999,0.0,360.0,0.0,2164.6,23.63556642012203
